TRANSACTION_ID,CUSTOMER_ID,PURCHASE_DATE,PRODUCT_CATEGORY,PRODUCT_NAME,AMOUNT,QUANTITY
1,1,2023-03-02,sports,Jump Rope,260.32,3
2,1,2023-07-09,books,Bestseller Novel,151.41,1
3,1,2023-07-31,books,Science Fiction Box Set,153.53,2
4,1,2023-09-18,books,Self-Help Guide,265.62,3
5,1,2023-11-06,sports,Fitness Tracker Band,324.44,1
6,1,2023-12-02,electronics,USB-C Hub,91.9,3
7,1,2024-12-05,grocery,Protein Bar Variety Pack,344.55,2
8,1,2024-09-08,books,History Anthology,270.53,1
9,1,2023-07-24,electronics,Wireless Headphones,227.31,3
10,1,2023-07-23,sports,Jump Rope,196.04,1
11,1,2023-04-03,home_goods,Kitchen Organizer,322.71,2
12,1,2025-01-04,books,Cookbook Collection,107.75,4
13,1,2023-10-22,sports,Resistance Bands,313.44,2
14,1,2023-08-24,beauty,Moisturizing Cream,278.87,3
15,1,2025-01-07,grocery,Trail Mix Bundle,313.3,2
16,1,2023-06-12,home_goods,Throw Blanket,183.29,1
17,1,2023-10-07,grocery,Trail Mix Bundle,133.88,4
18,1,2023-10-13,home_goods,Kitchen Organizer,140.19,2
19,1,2023-12-04,beauty,Hair Styling Kit,313.38,3
20,1,2024-04-06,home_goods,Wall Clock,263.47,3
21,2,2023-11-15,clothing,Wool Sweater,16.72,4
22,2,2024-05-08,home_goods,Kitchen Organizer,42.28,1
23,2,2023-08-30,beauty,Sunscreen SPF 50,26.46,4
24,2,2024-08-21,electronics,Portable Charger,45.91,2
25,2,2023-04-29,home_goods,Ceramic Vase,57.7,3
26,2,2024-12-27,sports,Water Bottle,53.16,3
27,2,2024-12-30,sports,Water Bottle,33.38,4
28,2,2024-09-06,books,Self-Help Guide,20.73,4
29,2,2025-01-10,books,History Anthology,48.67,2
30,2,2023-12-22,sports,Jump Rope,33.27,1
31,2,2023-09-20,home_goods,Kitchen Organizer,34.34,3
32,2,2024-05-14,beauty,Perfume Set,45.4,4
33,3,2025-06-12,home_goods,Wall Clock,86.96,3
34,3,2025-06-21,electronics,Bluetooth Speaker,57.94,2
35,3,2023-09-19,clothing,Winter Jacket,52.04,4
36,3,2024-11-11,sports,Yoga Mat,67.3,2
37,3,2024-12-21,books,History Anthology,65.97,2
38,3,2023-11-20,books,Bestseller Novel,100.06,2
39,3,2024-11-20,clothing,Wool Sweater,34.52,2
40,3,2024-11-12,grocery,Organic Coffee Beans,42.0,4
41,3,2025-02-25,books,Science Fiction Box Set,83.59,4
42,3,2024-10-12,sports,Jump Rope,104.75,4
43,3,2024-11-05,clothing,Denim Jeans,53.33,2
44,3,2025-01-17,grocery,Olive Oil Premium,73.61,2
45,3,2023-10-21,home_goods,Ceramic Vase,94.22,2
46,3,2024-06-25,home_goods,Kitchen Organizer,110.37,1
47,3,2024-03-26,clothing,Running Shoes,64.47,2
48,3,2023-10-07,books,Cookbook Collection,67.34,3
49,3,2024-10-01,sports,Fitness Tracker Band,35.6,4
50,4,2025-01-16,grocery,Green Tea Sampler,72.93,3
51,4,2025-02-25,home_goods,Ceramic Vase,78.44,2
52,4,2024-09-28,beauty,Vitamin C Serum,69.23,1
53,4,2025-11-07,beauty,Hair Styling Kit,91.12,4
54,4,2025-04-15,books,Cookbook Collection,112.76,1
55,4,2025-07-23,beauty,Sunscreen SPF 50,89.67,1
56,4,2024-05-10,books,History Anthology,108.02,2
57,4,2025-01-15,electronics,Tablet Stand,59.46,4
58,4,2025-01-15,home_goods,Kitchen Organizer,55.04,4
59,4,2025-04-18,home_goods,Scented Candle Set,31.74,1
60,4,2025-10-19,home_goods,Throw Blanket,36.18,1
61,4,2024-09-02,grocery,Organic Coffee Beans,47.94,1
62,4,2024-08-24,sports,Resistance Bands,41.36,1
63,4,2025-04-13,sports,Resistance Bands,92.95,3
64,4,2025-09-05,clothing,Wool Sweater,116.74,1
65,4,2024-11-06,grocery,Protein Bar Variety Pack,39.73,1
66,4,2025-11-16,home_goods,Wall Clock,111.72,4
67,4,2024-03-10,beauty,Vitamin C Serum,83.29,2
68,5,2023-06-25,grocery,Green Tea Sampler,101.66,1
69,5,2024-05-05,home_goods,Wall Clock,89.54,1
70,5,2023-03-06,sports,Water Bottle,106.46,4
71,5,2024-02-27,electronics,USB-C Hub,87.2,4
72,5,2024-05-12,books,Cookbook Collection,45.85,3
73,5,2024-07-01,sports,Jump Rope,71.84,3
74,5,2023-05-21,home_goods,Throw Blanket,55.1,4
75,5,2024-09-27,clothing,Denim Jeans,84.93,4
76,5,2024-07-12,home_goods,Scented Candle Set,106.59,2
77,5,2024-02-20,beauty,Vitamin C Serum,101.8,3
78,5,2023-12-01,home_goods,Wall Clock,80.02,2
79,5,2024-04-13,electronics,Bluetooth Speaker,73.97,2
80,5,2024-12-14,books,History Anthology,94.07,4
81,5,2023-05-28,grocery,Organic Coffee Beans,56.48,4
82,5,2024-01-01,books,Cookbook Collection,89.76,3
83,5,2024-08-18,beauty,Sunscreen SPF 50,60.94,3
84,5,2023-11-26,home_goods,Ceramic Vase,57.6,2
85,5,2024-01-11,electronics,Bluetooth Speaker,40.76,2
86,5,2024-07-01,clothing,Running Shoes,54.88,3
87,6,2024-01-27,home_goods,Throw Blanket,76.92,1
88,6,2023-06-01,books,Science Fiction Box Set,91.15,1
89,6,2023-06-01,sports,Water Bottle,145.68,4
90,6,2024-09-01,electronics,Wireless Headphones,92.65,4
91,6,2023-07-30,beauty,Hair Styling Kit,194.82,3
92,6,2023-05-19,grocery,Trail Mix Bundle,173.32,4
93,6,2024-09-04,beauty,Moisturizing Cream,144.42,1
94,6,2024-08-21,clothing,Running Shoes,192.37,1
95,6,2024-08-16,clothing,Winter Jacket,164.67,2
96,6,2024-02-16,grocery,Green Tea Sampler,117.58,4
97,6,2024-04-06,home_goods,Wall Clock,95.81,1
98,6,2023-08-23,sports,Yoga Mat,143.83,3
99,6,2023-07-02,books,Bestseller Novel,85.98,1
100,6,2024-03-16,clothing,Winter Jacket,117.58,4
101,6,2023-09-17,home_goods,Scented Candle Set,93.22,3
102,6,2023-04-05,books,History Anthology,153.11,3
103,6,2024-11-30,grocery,Green Tea Sampler,170.59,2
104,6,2024-08-02,beauty,Moisturizing Cream,83.72,2
105,6,2023-04-06,home_goods,Throw Blanket,58.95,3
106,7,2025-01-31,beauty,Moisturizing Cream,45.99,4
107,7,2025-04-14,home_goods,Wall Clock,37.22,1
108,7,2024-12-25,sports,Yoga Mat,48.05,3
109,7,2024-05-31,electronics,Wireless Headphones,58.29,1
110,7,2025-05-22,grocery,Olive Oil Premium,16.81,2
111,7,2025-08-07,beauty,Sunscreen SPF 50,34.9,3
112,7,2024-12-29,clothing,Wool Sweater,43.57,4
113,7,2024-09-30,electronics,USB-C Hub,33.38,3
114,7,2024-03-22,books,Bestseller Novel,29.84,4
115,7,2025-04-25,home_goods,Ceramic Vase,16.65,1
116,7,2024-09-05,home_goods,Kitchen Organizer,20.22,4
117,7,2023-10-11,grocery,Green Tea Sampler,44.59,4
118,7,2024-04-19,beauty,Moisturizing Cream,38.33,4
119,7,2023-12-01,books,History Anthology,24.16,2
120,7,2025-02-17,home_goods,Ceramic Vase,20.46,2
121,7,2024-08-23,books,Cookbook Collection,39.79,4
122,7,2024-02-03,electronics,Bluetooth Speaker,35.77,1
123,8,2025-05-31,beauty,Hair Styling Kit,155.81,4
124,8,2025-04-23,grocery,Trail Mix Bundle,86.56,2
125,8,2025-08-31,beauty,Vitamin C Serum,126.24,2
126,8,2024-10-04,grocery,Organic Coffee Beans,165.9,4
127,8,2024-09-25,home_goods,Wall Clock,173.08,3
128,8,2025-08-19,books,Self-Help Guide,136.99,4
129,8,2025-03-28,grocery,Protein Bar Variety Pack,130.79,3
130,8,2025-07-05,home_goods,Wall Clock,106.58,3
131,8,2024-08-27,grocery,Protein Bar Variety Pack,135.77,2
132,8,2024-02-09,grocery,Trail Mix Bundle,97.73,4
133,8,2025-01-25,books,History Anthology,198.26,2
134,8,2024-05-04,beauty,Moisturizing Cream,125.34,3
135,8,2025-03-21,grocery,Organic Coffee Beans,64.96,4
136,8,2025-02-18,electronics,Bluetooth Speaker,180.64,2
137,8,2024-09-23,electronics,USB-C Hub,100.78,4
138,8,2024-11-27,books,Bestseller Novel,177.85,4
139,8,2025-07-03,home_goods,Ceramic Vase,55.38,1
140,8,2024-08-15,clothing,Cotton T-Shirt,162.01,4
141,9,2024-03-01,beauty,Vitamin C Serum,55.65,1
142,9,2024-02-24,home_goods,Scented Candle Set,31.13,4
143,9,2024-10-24,clothing,Running Shoes,33.54,2
144,9,2023-07-19,clothing,Running Shoes,42.43,4
145,9,2024-09-20,sports,Resistance Bands,56.08,2
146,9,2025-02-11,clothing,Denim Jeans,26.43,3
147,9,2024-08-18,books,Bestseller Novel,55.55,2
148,9,2024-04-17,electronics,USB-C Hub,59.44,3
149,9,2024-01-11,books,History Anthology,35.56,3
150,9,2024-09-05,clothing,Denim Jeans,19.8,4
151,10,2023-07-31,books,Self-Help Guide,196.69,4
152,10,2025-02-07,home_goods,Scented Candle Set,179.76,1
153,10,2024-04-27,sports,Fitness Tracker Band,166.36,2
154,10,2024-02-18,sports,Water Bottle,145.49,3
155,10,2025-04-12,books,Cookbook Collection,64.57,1
156,10,2023-08-12,home_goods,Ceramic Vase,136.94,2
157,10,2024-06-07,electronics,Tablet Stand,162.12,2
158,10,2025-01-11,clothing,Running Shoes,181.47,3
159,10,2024-04-13,sports,Jump Rope,174.57,3
160,10,2024-05-06,grocery,Trail Mix Bundle,161.98,3
161,10,2024-10-30,grocery,Organic Coffee Beans,194.43,2
162,10,2025-05-31,grocery,Protein Bar Variety Pack,158.63,4
163,10,2024-07-17,grocery,Green Tea Sampler,63.55,4
164,10,2025-01-08,electronics,Tablet Stand,68.54,3
165,10,2025-02-26,books,Self-Help Guide,107.15,3
166,10,2024-11-02,electronics,Bluetooth Speaker,53.75,3
167,10,2025-05-02,sports,Resistance Bands,59.48,4
168,10,2025-05-03,books,Self-Help Guide,111.24,2
169,10,2024-05-15,electronics,Wireless Headphones,199.39,1
170,10,2025-01-09,electronics,Bluetooth Speaker,70.35,4
171,10,2024-09-10,home_goods,Wall Clock,138.1,2
172,10,2024-11-21,beauty,Moisturizing Cream,142.35,3
173,10,2024-02-16,electronics,Tablet Stand,116.51,2
174,10,2023-10-18,grocery,Olive Oil Premium,197.14,3
175,10,2023-09-09,sports,Water Bottle,109.72,2
176,10,2023-10-10,electronics,USB-C Hub,149.42,1
177,10,2024-03-14,electronics,Tablet Stand,198.32,2
178,11,2024-07-03,sports,Resistance Bands,29.79,2
179,11,2023-11-10,grocery,Green Tea Sampler,27.48,2
180,11,2024-07-21,clothing,Wool Sweater,50.93,1
181,11,2024-03-21,books,Bestseller Novel,15.67,2
182,11,2023-11-24,sports,Water Bottle,22.84,1
183,11,2025-04-29,clothing,Denim Jeans,20.11,1
184,11,2024-11-12,beauty,Perfume Set,38.1,1
185,11,2024-06-21,beauty,Sunscreen SPF 50,57.54,1
186,11,2024-09-11,books,Science Fiction Box Set,35.61,1
187,11,2024-12-23,electronics,USB-C Hub,34.18,1
188,11,2024-01-22,beauty,Perfume Set,55.47,3
189,12,2025-02-16,clothing,Cotton T-Shirt,144.96,3
190,12,2024-11-12,beauty,Sunscreen SPF 50,94.23,4
191,12,2025-03-19,electronics,Wireless Headphones,147.64,2
192,12,2024-01-07,beauty,Perfume Set,112.07,4
193,12,2023-08-24,beauty,Perfume Set,96.88,3
194,12,2024-06-05,books,Self-Help Guide,193.04,4
195,12,2023-08-14,electronics,Wireless Headphones,63.98,1
196,12,2023-09-29,books,Self-Help Guide,133.46,3
197,12,2024-07-12,books,Bestseller Novel,103.04,4
198,12,2024-03-08,grocery,Organic Coffee Beans,140.06,3
199,12,2024-10-19,electronics,Portable Charger,81.91,4
200,12,2024-05-11,clothing,Winter Jacket,176.81,3
201,12,2024-12-26,electronics,Tablet Stand,83.92,4
202,13,2023-05-27,sports,Water Bottle,23.12,3
203,13,2023-05-04,home_goods,Kitchen Organizer,23.16,2
204,13,2023-07-08,sports,Fitness Tracker Band,21.38,1
205,13,2023-12-04,electronics,Portable Charger,31.93,4
206,13,2024-05-10,home_goods,Throw Blanket,29.02,3
207,13,2024-12-28,grocery,Green Tea Sampler,18.82,1
208,13,2025-01-19,clothing,Running Shoes,17.24,1
209,13,2025-03-05,home_goods,Ceramic Vase,34.08,4
210,13,2023-12-04,beauty,Hair Styling Kit,48.97,1
211,13,2023-08-19,home_goods,Ceramic Vase,27.75,4
212,13,2023-06-13,sports,Water Bottle,24.92,1
213,13,2024-03-01,electronics,Bluetooth Speaker,57.54,2
214,13,2024-02-18,grocery,Olive Oil Premium,29.77,1
215,13,2023-10-24,beauty,Perfume Set,20.81,2
216,13,2025-03-12,sports,Jump Rope,51.28,1
217,13,2024-07-17,beauty,Moisturizing Cream,15.84,1
218,13,2024-12-07,grocery,Olive Oil Premium,34.32,4
219,13,2024-02-18,books,History Anthology,20.18,1
220,14,2023-09-09,grocery,Olive Oil Premium,69.3,1
221,14,2025-02-03,clothing,Denim Jeans,66.04,1
222,14,2024-05-23,beauty,Hair Styling Kit,49.94,2
223,14,2025-03-20,electronics,Portable Charger,40.26,2
224,14,2024-06-04,grocery,Olive Oil Premium,95.46,2
225,14,2023-11-07,clothing,Winter Jacket,53.04,2
226,14,2025-04-12,sports,Resistance Bands,36.78,4
227,14,2025-01-24,beauty,Sunscreen SPF 50,70.4,3
228,14,2023-11-12,grocery,Olive Oil Premium,69.58,4
229,14,2024-03-18,beauty,Hair Styling Kit,83.23,3
230,14,2024-04-23,sports,Yoga Mat,71.56,1
231,14,2024-03-30,electronics,Tablet Stand,36.91,1
232,14,2024-11-11,sports,Jump Rope,64.6,1
233,15,2024-07-14,home_goods,Wall Clock,75.12,1
234,15,2024-02-29,beauty,Moisturizing Cream,118.41,1
235,15,2023-04-24,sports,Resistance Bands,52.3,4
236,15,2024-08-31,beauty,Sunscreen SPF 50,84.88,3
237,15,2024-04-14,home_goods,Kitchen Organizer,66.79,3
238,15,2023-05-07,books,Science Fiction Box Set,101.03,3
239,15,2023-06-19,electronics,Tablet Stand,80.22,4
240,15,2025-01-15,home_goods,Kitchen Organizer,116.8,2
241,15,2024-10-31,home_goods,Scented Candle Set,89.73,3
242,15,2023-07-25,home_goods,Ceramic Vase,83.55,1
243,15,2024-04-03,home_goods,Wall Clock,87.91,3
244,15,2025-01-29,grocery,Protein Bar Variety Pack,93.25,1
245,15,2024-08-16,books,History Anthology,62.56,3
246,15,2023-10-20,home_goods,Throw Blanket,60.76,4
247,15,2023-08-02,clothing,Running Shoes,43.95,3
248,15,2024-08-15,grocery,Organic Coffee Beans,99.38,1
249,15,2024-12-06,books,Self-Help Guide,41.79,4
250,15,2023-09-16,clothing,Running Shoes,104.82,2
251,16,2024-11-04,home_goods,Throw Blanket,244.86,4
252,16,2024-04-08,clothing,Wool Sweater,163.56,4
253,16,2024-08-18,grocery,Protein Bar Variety Pack,263.14,4
254,16,2024-09-02,beauty,Hair Styling Kit,215.78,4
255,16,2025-04-18,clothing,Running Shoes,117.37,3
256,16,2024-08-22,electronics,USB-C Hub,229.73,1
257,16,2023-12-13,books,Science Fiction Box Set,156.97,2
258,16,2025-01-14,home_goods,Ceramic Vase,119.78,4
259,16,2024-11-11,electronics,Bluetooth Speaker,318.85,1
260,16,2024-09-16,beauty,Moisturizing Cream,215.54,2
261,16,2024-08-25,beauty,Moisturizing Cream,140.63,3
262,16,2024-01-04,electronics,Tablet Stand,117.15,3
263,16,2023-12-28,grocery,Trail Mix Bundle,284.89,4
264,16,2023-08-13,beauty,Sunscreen SPF 50,324.58,1
265,16,2024-01-08,home_goods,Throw Blanket,228.18,4
266,16,2024-04-07,electronics,Tablet Stand,161.31,1
267,16,2025-05-23,clothing,Denim Jeans,294.35,4
268,16,2024-12-31,electronics,Wireless Headphones,241.12,1
269,16,2025-03-18,books,Science Fiction Box Set,145.32,2
270,16,2023-08-09,home_goods,Ceramic Vase,246.0,2
271,16,2024-02-15,sports,Fitness Tracker Band,259.38,1
272,16,2023-10-16,sports,Water Bottle,337.42,1
273,16,2023-09-21,beauty,Perfume Set,251.63,3
274,16,2024-08-07,home_goods,Scented Candle Set,292.9,3
275,16,2025-03-25,clothing,Winter Jacket,278.5,3
276,17,2025-06-29,sports,Water Bottle,22.88,4
277,17,2025-06-17,books,History Anthology,23.2,2
278,17,2023-10-17,electronics,USB-C Hub,28.2,1
279,17,2023-10-22,grocery,Protein Bar Variety Pack,29.2,3
280,17,2025-03-19,sports,Fitness Tracker Band,36.3,1
281,17,2024-06-28,grocery,Protein Bar Variety Pack,31.06,1
282,17,2024-06-15,grocery,Olive Oil Premium,20.6,3
283,17,2024-12-03,beauty,Perfume Set,55.26,4
284,17,2025-01-30,home_goods,Throw Blanket,46.14,3
285,17,2024-06-09,grocery,Green Tea Sampler,51.05,4
286,17,2025-05-18,electronics,USB-C Hub,59.78,2
287,17,2024-08-03,sports,Water Bottle,19.62,3
288,18,2025-02-23,beauty,Sunscreen SPF 50,124.99,4
289,18,2024-01-27,home_goods,Ceramic Vase,276.24,3
290,18,2024-09-21,sports,Fitness Tracker Band,252.66,1
291,18,2024-12-21,electronics,USB-C Hub,218.53,2
292,18,2025-08-28,electronics,Bluetooth Speaker,263.08,4
293,18,2024-02-21,electronics,Bluetooth Speaker,143.72,3
294,18,2025-07-17,home_goods,Ceramic Vase,88.74,2
295,18,2024-12-28,books,History Anthology,180.44,1
296,18,2025-06-09,sports,Resistance Bands,179.08,3
297,18,2024-08-26,books,Self-Help Guide,339.34,1
298,18,2025-05-09,books,Cookbook Collection,219.79,1
299,18,2025-03-15,home_goods,Kitchen Organizer,137.93,3
300,18,2024-07-06,books,History Anthology,113.11,1
301,18,2025-03-14,beauty,Vitamin C Serum,349.26,3
302,18,2024-02-19,books,Self-Help Guide,228.5,3
303,18,2025-09-28,home_goods,Throw Blanket,127.0,3
304,18,2024-04-17,sports,Resistance Bands,345.99,2
305,18,2024-01-10,clothing,Denim Jeans,177.44,3
306,18,2024-04-25,beauty,Sunscreen SPF 50,245.23,1
307,18,2025-01-25,electronics,Tablet Stand,349.89,4
308,18,2025-02-06,sports,Fitness Tracker Band,302.3,1
309,18,2025-10-02,clothing,Cotton T-Shirt,100.02,4
310,18,2024-12-01,books,Science Fiction Box Set,114.65,2
311,18,2025-03-02,grocery,Protein Bar Variety Pack,215.77,1
312,18,2025-05-28,grocery,Organic Coffee Beans,121.31,2
313,18,2024-08-01,clothing,Cotton T-Shirt,173.43,3
314,18,2024-08-27,grocery,Organic Coffee Beans,133.0,3
315,18,2025-09-04,clothing,Cotton T-Shirt,224.04,2
316,19,2025-06-08,clothing,Wool Sweater,100.64,1
317,19,2023-12-20,grocery,Organic Coffee Beans,56.82,3
318,19,2025-05-05,books,Cookbook Collection,112.49,1
319,19,2024-07-20,beauty,Sunscreen SPF 50,146.29,3
320,19,2024-11-16,beauty,Vitamin C Serum,94.62,1
321,19,2024-03-07,books,Bestseller Novel,115.94,4
322,19,2024-09-10,beauty,Vitamin C Serum,141.0,3
323,19,2024-09-15,grocery,Olive Oil Premium,196.31,2
324,19,2025-03-08,grocery,Olive Oil Premium,134.25,3
325,19,2024-01-31,clothing,Denim Jeans,90.12,2
326,19,2023-11-18,clothing,Winter Jacket,93.53,4
327,19,2024-11-29,grocery,Green Tea Sampler,87.24,2
328,19,2025-05-11,grocery,Olive Oil Premium,158.17,2
329,19,2025-02-19,grocery,Protein Bar Variety Pack,199.4,4
330,19,2025-02-18,beauty,Hair Styling Kit,53.48,4
331,19,2024-05-31,sports,Fitness Tracker Band,82.27,3
332,19,2024-07-12,electronics,Wireless Headphones,124.23,4
333,19,2023-10-06,home_goods,Wall Clock,177.08,4
334,19,2024-10-06,clothing,Cotton T-Shirt,164.58,3
335,19,2023-11-19,electronics,USB-C Hub,135.54,2
336,19,2024-07-19,home_goods,Wall Clock,61.03,4
337,19,2024-07-10,grocery,Green Tea Sampler,173.8,1
338,19,2024-11-04,clothing,Winter Jacket,105.98,3
339,19,2024-02-22,sports,Water Bottle,79.86,4
340,19,2023-11-13,sports,Yoga Mat,55.84,3
341,19,2025-03-12,grocery,Trail Mix Bundle,118.55,2
342,19,2024-08-19,home_goods,Wall Clock,74.38,3
343,20,2024-03-18,books,Science Fiction Box Set,208.22,1
344,20,2025-04-05,home_goods,Kitchen Organizer,109.59,4
345,20,2025-02-19,sports,Water Bottle,87.19,4
346,20,2024-12-28,home_goods,Wall Clock,141.44,1
347,20,2023-11-07,sports,Fitness Tracker Band,221.54,4
348,20,2023-06-18,clothing,Running Shoes,234.59,1
349,20,2024-08-10,clothing,Winter Jacket,164.7,2
350,20,2024-07-10,beauty,Vitamin C Serum,215.49,4
351,20,2023-10-05,grocery,Organic Coffee Beans,220.04,3
352,20,2024-11-05,books,History Anthology,181.74,2
353,20,2024-05-01,beauty,Sunscreen SPF 50,227.49,3
354,20,2023-11-29,sports,Fitness Tracker Band,338.48,3
355,20,2024-01-02,sports,Water Bottle,334.2,3
356,20,2023-12-15,grocery,Olive Oil Premium,266.36,4
357,20,2024-05-08,home_goods,Ceramic Vase,231.33,3
358,20,2024-12-24,home_goods,Scented Candle Set,262.69,4
359,20,2023-10-13,beauty,Hair Styling Kit,158.42,3
360,20,2024-05-05,books,Bestseller Novel,329.48,3
361,20,2023-12-22,books,History Anthology,134.56,3
362,20,2023-10-04,sports,Water Bottle,109.49,2
363,20,2025-04-01,clothing,Winter Jacket,324.4,2
364,20,2023-07-09,books,Cookbook Collection,107.05,3
365,20,2023-08-27,books,History Anthology,263.92,2
366,20,2023-10-25,electronics,Portable Charger,189.87,4
367,20,2024-03-06,beauty,Vitamin C Serum,166.72,1
368,20,2025-03-14,grocery,Organic Coffee Beans,235.02,1
369,20,2023-11-13,clothing,Denim Jeans,332.16,1
370,21,2023-02-09,clothing,Cotton T-Shirt,15.42,1
371,21,2024-04-11,home_goods,Kitchen Organizer,59.51,4
372,21,2024-04-25,clothing,Wool Sweater,27.28,1
373,21,2024-04-15,home_goods,Throw Blanket,44.17,2
374,21,2023-10-31,electronics,Tablet Stand,40.55,2
375,21,2024-10-17,clothing,Wool Sweater,55.37,4
376,21,2023-03-31,sports,Water Bottle,33.04,1
377,21,2024-05-04,clothing,Running Shoes,29.56,2
378,21,2024-01-29,electronics,Tablet Stand,25.6,3
379,21,2024-08-20,home_goods,Kitchen Organizer,47.53,1
380,21,2023-08-31,home_goods,Kitchen Organizer,17.8,1
381,21,2023-06-14,beauty,Hair Styling Kit,33.24,3
382,21,2024-10-17,books,Bestseller Novel,56.23,3
383,21,2023-08-16,home_goods,Wall Clock,24.86,2
384,21,2024-04-11,beauty,Vitamin C Serum,48.65,3
385,21,2024-04-28,beauty,Sunscreen SPF 50,49.08,2
386,21,2024-11-28,grocery,Protein Bar Variety Pack,48.96,1
387,21,2024-06-25,sports,Fitness Tracker Band,46.67,1
388,22,2024-07-25,grocery,Green Tea Sampler,134.58,2
389,22,2024-08-09,clothing,Cotton T-Shirt,199.3,2
390,22,2024-07-08,books,Science Fiction Box Set,104.55,4
391,22,2024-06-02,grocery,Organic Coffee Beans,115.62,4
392,22,2023-04-24,beauty,Sunscreen SPF 50,230.88,3
393,22,2024-04-04,books,Bestseller Novel,148.7,1
394,22,2024-10-08,books,Cookbook Collection,99.72,4
395,22,2024-08-31,home_goods,Scented Candle Set,348.41,1
396,22,2023-12-14,beauty,Moisturizing Cream,190.39,2
397,22,2024-03-13,grocery,Trail Mix Bundle,348.07,4
398,22,2024-03-14,beauty,Perfume Set,101.67,2
399,22,2023-06-25,books,Self-Help Guide,128.19,4
400,22,2023-10-10,sports,Resistance Bands,305.4,1
401,22,2025-01-13,home_goods,Ceramic Vase,274.16,4
402,22,2023-10-17,sports,Fitness Tracker Band,146.83,3
403,22,2023-09-05,clothing,Cotton T-Shirt,333.1,1
404,22,2024-11-14,electronics,USB-C Hub,286.83,1
405,22,2023-05-03,clothing,Running Shoes,107.24,1
406,22,2025-01-12,beauty,Sunscreen SPF 50,269.89,1
407,22,2024-04-10,clothing,Winter Jacket,198.52,2
408,22,2023-07-17,grocery,Organic Coffee Beans,216.05,3
409,22,2024-01-16,clothing,Wool Sweater,235.92,3
410,22,2023-07-20,clothing,Cotton T-Shirt,346.14,2
411,22,2023-12-02,beauty,Hair Styling Kit,96.46,2
412,22,2024-09-15,books,History Anthology,213.82,3
413,22,2024-08-14,books,History Anthology,166.06,4
414,22,2023-12-28,beauty,Vitamin C Serum,181.64,4
415,23,2024-07-10,home_goods,Throw Blanket,112.33,4
416,23,2024-09-16,beauty,Sunscreen SPF 50,42.07,2
417,23,2024-02-25,home_goods,Throw Blanket,88.2,4
418,23,2023-06-26,grocery,Olive Oil Premium,78.21,2
419,23,2024-04-13,electronics,Tablet Stand,90.63,1
420,23,2023-10-02,grocery,Organic Coffee Beans,102.42,2
421,23,2024-02-27,beauty,Vitamin C Serum,57.29,1
422,23,2023-07-22,clothing,Running Shoes,97.22,4
423,23,2023-10-19,clothing,Wool Sweater,65.7,2
424,23,2024-01-07,sports,Water Bottle,64.26,3
425,23,2024-03-26,home_goods,Kitchen Organizer,76.15,4
426,24,2023-08-06,grocery,Olive Oil Premium,180.09,4
427,24,2023-08-24,electronics,Portable Charger,280.14,1
428,24,2024-08-30,home_goods,Wall Clock,236.37,4
429,24,2023-07-29,home_goods,Throw Blanket,169.06,4
430,24,2024-06-04,sports,Resistance Bands,228.67,3
431,24,2024-10-28,home_goods,Ceramic Vase,279.69,4
432,24,2023-07-02,clothing,Cotton T-Shirt,117.79,4
433,24,2024-10-28,clothing,Wool Sweater,338.45,1
434,24,2024-11-24,grocery,Organic Coffee Beans,93.1,1
435,24,2024-10-16,beauty,Vitamin C Serum,142.49,2
436,24,2024-06-10,electronics,Bluetooth Speaker,203.12,1
437,24,2024-05-18,sports,Jump Rope,258.01,1
438,25,2024-08-05,electronics,Wireless Headphones,95.0,3
439,25,2024-12-31,electronics,Portable Charger,68.75,2
